Time (s),Volume (m^3),N2,Ar,He,Ne,toluene(1),tolyl(2),C7H8O(3),MHCHD(4),C7H6O(5),O2(6),C7H7O2(7),OH(8),C7H6O2(9),C7H6O2(10),H2O(14),S(514),S(513),S(512),S(656),S(637),S(872),S(871),S(870)
0.0,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,0.0,0.0,0.0,0.0,0.2099999999789998,0.0,9.999999998999991e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.068196777858941e-34,0.0,5.910362337529926e-38,0.0,0.2099999999789998,1.3889046091714192e-42,9.999999998999991e-16,0.0,0.0,6.068196791747986e-34,2.9875527443894632e-46,8.204363694384834e-47,1.8495501533265632e-47,2.0116237965242574e-54,2.7961381100176423e-56,2.400948584247533e-64,4.624706733261434e-65,8.750051815382004e-66
3.0000000000000002e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.9938360795901085e-33,0.0,1.9419761834973323e-37,0.0,0.2099999999789998,9.127087422615071e-42,9.999999998999991e-16,0.0,0.0,1.993836088717195e-33,1.9632488099082224e-45,5.391434676660116e-46,1.2153958864605271e-46,1.896529240217163e-53,2.636358779119275e-55,2.949736817488185e-63,5.681776076598907e-64,1.0749955846300745e-64
7e-15,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,4.421114755812654e-33,0.0,4.30612101811641e-37,0.0,0.2099999999789998,4.960373567125713e-41,9.999999998999991e-16,0.0,0.0,4.42111480541639e-33,1.0669825664826884e-44,2.9301122551214056e-45,6.604606725485728e-46,3.0610427173865646e-52,4.258118723704519e-54,1.4920179528270687e-61,2.8738822644515624e-62,5.436823100054147e-63
1.5e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,9.275672019367855e-33,0.0,9.034410431815232e-37,0.0,0.2099999999789998,2.1944692424900804e-40,9.999999998999991e-16,0.0,0.0,9.275672238814778e-33,4.720327329345397e-44,1.2962704276508474e-44,2.921286077773669e-45,2.843710750362912e-51,3.9601300796340916e-53,2.8695447094540144e-60,5.5271219000780654e-61,1.045456161690531e-61
3.1e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.89847861909187e-32,0.0,1.8490988237096224e-36,0.0,0.2099999999789998,9.146928567052395e-40,9.999999998999991e-16,0.0,0.0,1.8984787105611557e-32,1.9675114873771946e-43,5.402988646408127e-44,1.2171607397124466e-44,2.3949366082100556e-50,3.342343026209188e-52,4.8788836935149566e-59,9.396994328293766e-60,1.7768816028680575e-60
6.300000000000001e-14,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.8403013111782275e-32,0.0,3.74041397595168e-36,0.0,0.2099999999789998,3.7274228386515305e-39,9.999999998999991e-16,0.0,0.0,3.8403016839205115e-32,8.017692570043721e-43,2.20167286582435e-43,4.956086850383001e-44,1.9517679352076456e-49,2.735524655303916e-51,8.00437229473071e-58,1.5415610900626068e-58,2.9131062780664268e-59
1.2700000000000001e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,7.723946126455778e-32,0.0,7.523042645438807e-36,0.0,0.2099999999789998,1.5041834437326808e-38,9.999999998999991e-16,0.0,0.0,7.723947630639223e-32,3.235482404522155e-42,8.884145797893207e-43,1.9968592980352385e-43,1.5646205264320878e-48,2.211609908120343e-50,1.2954248790791278e-56,2.4944548145863104e-57,4.7078664637178215e-58
2.55e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,1.5491233481430893e-31,0.0,1.5088293446492469e-35,0.0,0.2099999999789998,6.042645750698923e-38,9.999999998999991e-16,0.0,0.0,1.5491239524076644e-31,1.2997516566057522e-41,3.5684820130071205e-42,7.996678601599389e-43,1.2371280594966023e-47,1.7782829643695593e-49,2.0840375973177076e-55,4.0117041173983436e-56,7.552413678931841e-57
5.11e-13,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,3.1025799089066507e-31,0.0,3.0218768913310676e-35,0.0,0.2099999999789998,2.422188498010413e-37,9.99999999899999e-16,0.0,0.0,3.1025823310951486e-31,5.209921946444227e-41,1.430037246454264e-41,3.185468643701082e-42,9.601647014922802e-47,1.4261679232255005e-48,3.343377341677115e-54,6.4317439713119806e-55,1.2047928689361997e-55
1e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.069921190188114e-31,0.0,5.91202414698288e-35,0.0,0.2099999999789998,9.372071796796166e-37,9.999999998999985e-16,0.0,0.0,6.069930562259913e-31,2.015762017217883e-40,5.530238827629415e-41,1.2175130563337364e-41,6.942018374328339e-46,1.0974278481195049e-47,5.13084858332835e-53,9.857680427306818e-54,1.8283695941845535e-54
1.023e-12,0.02477712656,0.7899999999209992,0.0,0.0,0.0,9.999999998999991e-11,6.209489389512192e-31,0.0,6.04796154346548e-35,0.0,0.2099999999789998,9.698957923323922e-37,9.999999998999985e-16,0.0,0.0,6.209499088470117e-31,2.0860681642918904e-40,5.723090844739903e-41,1.2597957197594284e-41,7.22337345505478e-46,1.1423371615823474e-47,5.3564513431048215e-53,1.0291082551425508e-53,1.908699813136888e-54
